,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
809,124,BEL,BCA_NGDPD,Belgium,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-3.999,-4.094,-2.898,-0.584,-0.067,0.799,2.622,1.926,2.277,2.255,1.817,2.319,2.914,5.144,5.28,5.339,4.954,5.471,5.12,7.764,3.965,3.335,4.501,3.398,3.098,1.995,1.85,1.496,-1.006,1.657,1.624,-1.94,-0.081,0.955,0.772,1.383,0.552,0.698,-0.795,0.349,-0.151,-0.014,-0.616,-0.633,-0.434,-0.222,-0.023,2020.0
854,339,BLZ,BCA_NGDPD,Belize,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.148,-2.619,-9.705,-6.56,-2.513,4.325,5.243,3.526,-0.826,-5.245,3.725,-5.801,-5.519,-8.663,-6.896,-2.781,-1.036,-4.88,-6.014,-8.454,-19.418,-21.834,-17.728,-18.777,-14.743,-13.715,-2.097,-4.096,-10.721,-6.375,-3.321,-1.366,-2.174,-4.596,-8.148,-10.149,-9.135,-8.503,-7.871,-9.314,-7.497,-8.241,-8.236,-8.069,-8.098,-8.098,-8.098,2020.0
899,638,BEN,BCA_NGDPD,Benin,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-4.672,-16.923,-20.877,-11.655,-3.66,-2.566,-2.725,-1.512,-4.468,-0.615,-0.677,-7.971,-2.369,-1.89,0.483,-5.631,-1.269,-4.966,-3.949,-4.232,-2.295,-2.045,-3.742,-6.206,-4.669,-3.444,-3.088,-6.546,-5.499,-6.69,-5.567,-4.833,-5.178,-5.379,-6.67,-5.964,-2.997,-4.181,-4.553,-4.034,-3.935,-4.005,-4.283,-4.435,-4.549,-4.626,-4.793,2019.0
944,514,BTN,BCA_NGDPD,Bhutan,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",11.757,3.641,-50.791,-52.058,-60.072,-48.069,-50.677,-37.417,-22.259,-27.936,-10.23,-10.46,-30.391,-16.524,-13.916,15.827,15.057,5.415,10.457,2.32,-9.385,-8.892,-16.794,-24.06,-18.727,-31.014,-4.616,8.351,-8.82,-6.418,-22.777,-30.485,-21.926,-25.634,-27.108,-27.899,-30.26,-23.964,-19.077,-21.111,-12.197,-8.789,-11.977,-9.767,-4.743,-0.378,2.109,2020.0
989,218,BOL,BCA_NGDPD,Bolivia,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.2,-8.102,-3.4,-2.8,-2.0,-7.3,-7.6,-9.27,-2.9,0.7,-4.021,-4.788,-7.208,-7.321,-3.986,-5.002,-4.504,-6.984,-7.856,-5.907,-5.325,-3.359,-4.42,1.042,3.694,6.502,11.436,12.04,11.867,4.658,4.416,2.226,7.221,3.413,1.716,-5.825,-5.579,-5.024,-4.493,-3.373,-0.479,-2.222,-2.828,-3.332,-3.723,-3.786,-3.956,2020.0
1079,616,BWA,BCA_NGDPD,Botswana,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-13.339,-30.38,-13.713,-6.775,-5.078,7.606,7.439,27.461,6.526,14.827,-0.527,8.262,5.219,11.19,5.399,6.574,10.526,14.906,3.656,11.043,9.751,11.205,5.01,9.87,3.668,16.562,19.9,15.696,1.408,-6.551,-6.038,-0.89,-5.289,4.5,10.939,2.215,7.967,5.77,0.691,-8.419,-10.577,-4.044,-1.932,2.411,4.191,4.15,4.161,2020.0
1124,223,BRA,BCA_NGDPD,Brazil,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-8.783,-7.003,-9.104,-4.759,0.028,-0.1,-2.147,-0.501,1.304,0.235,-0.831,-0.352,1.607,-0.138,-0.307,-2.427,-2.801,-3.465,-3.909,-4.305,-3.808,-4.236,-1.597,0.643,1.657,1.553,1.182,0.03,-1.824,-1.583,-3.587,-2.926,-3.427,-3.236,-4.14,-3.044,-1.362,-1.068,-2.684,-3.463,-1.794,-0.518,-1.722,-2.441,-2.926,-3.157,-3.322,2020.0
1259,748,BFA,BCA_NGDPD,Burkina Faso,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.042,-2.028,-4.762,-3.401,-0.219,-3.607,-0.788,-1.868,-1.581,3.375,-2.206,-2.568,-0.609,-1.977,0.7,-3.445,-7.25,-8.086,-6.605,-9.957,-10.766,-9.129,-8.281,-7.766,-9.758,-10.324,-8.308,-7.353,-10.232,-4.037,-1.797,-1.328,-1.292,-10.008,-7.165,-7.568,-6.08,-5.031,-4.139,-3.276,-0.15,-2.533,-4.089,-4.279,-4.47,-4.469,-4.478,2019.0
1304,618,BDI,BCA_NGDPD,Burundi,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-8.777,-6.807,-12.195,-12.022,-11.723,-3.528,-2.934,-8.201,-6.437,-1.016,-6.141,-2.851,-5.508,-2.997,-1.827,1.045,-4.608,0.631,-4.906,-4.453,-7.019,-3.508,-12.542,-14.079,-6.505,-4.665,-21.287,-32.41,-9.821,-6.312,-12.238,-14.473,-18.592,-20.613,-15.624,-11.519,-11.059,-11.713,-11.403,-11.562,-10.369,-15.406,-14.355,-13.495,-13.163,-12.921,-13.142,2019.0
1349,624,CPV,BCA_NGDPD,Cabo Verde,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income.",Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-45.327,-15.345,-8.469,-7.878,-4.786,-3.404,0.939,5.316,-2.134,-8.951,-5.335,-4.808,-5.165,-8.305,-10.217,-11.491,-6.341,-5.507,-10.088,-12.558,-9.938,-9.711,-10.182,-10.181,-12.951,-3.119,-4.837,-12.943,-13.714,-14.629,-12.427,-16.287,-12.593,-4.87,-9.082,-3.18,-3.828,-7.844,-5.223,-0.399,-15.895,-13.239,-8.701,-5.159,-4.025,-3.289,-2.82,2019.0
