,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
681,316,BRB,NGDPRPC,Barbados,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",27192.56,26582.52,25204.18,25262.83,26103.06,26314.82,27569.4,28190.13,29073.41,30011.97,28919.48,27695.78,26026.57,26144.53,26573.89,27014.96,27982.63,29198.92,30177.49,30166.39,31401.71,30563.41,30715.22,31292.22,31635.64,32779.79,34508.23,35126.18,35222.14,33296.13,32406.52,32070.1,31814.33,31262.71,31126.68,31794.84,32495.98,32568.53,32296.72,31800.3,26010.26,26800.61,29005.08,30320.41,31090.51,31582.45,32082.18,2019.0
771,124,BEL,NGDPRPC,Belgium,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",21994.86,21915.05,22065.1,22126.21,22683.42,23047.11,23464.41,23991.4,25096.67,25831.57,26588.0,26969.12,27286.24,26899.45,27678.66,28254.96,28593.09,29598.46,30113.82,31115.11,32191.74,32468.63,32874.5,33067.8,34115.01,34742.02,35406.38,36454.6,36335.04,35315.28,36035.93,36111.09,36130.82,36094.45,36523.64,37082.04,37306.66,37776.01,38293.25,38782.97,36134.79,38107.54,39150.22,39669.08,40046.16,40407.2,40798.74,2020.0
816,339,BLZ,NGDPRPC,Belize,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",3080.07,3080.52,2795.83,2884.67,3126.16,2998.37,3126.21,3716.09,4039.13,4544.8,4912.49,5334.54,5827.65,6012.11,5850.4,5738.51,5676.27,5673.04,5675.5,6058.05,6662.84,6824.24,6995.15,7455.85,7563.24,7513.75,7674.21,7514.08,7573.11,7390.31,7438.27,7361.28,7346.51,7251.91,7351.89,7352.72,7162.54,7106.06,7125.89,7066.09,5928.23,6287.51,6497.1,6548.06,6548.06,6548.06,6548.06,2020.0
861,638,BEN,NGDPRPC,Benin,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",554201.88,545956.58,538591.08,511195.08,497568.4,502477.97,500265.98,475146.38,476006.23,449170.94,474485.17,478113.16,475422.84,485859.64,478981.65,491480.13,496855.43,509678.18,514419.14,521223.65,535535.07,547294.17,555539.02,557464.55,564923.02,557884.64,563325.02,580248.06,591715.11,588666.1,584478.22,585162.03,596394.42,621689.76,643072.72,636614.81,639957.87,657910.53,682728.92,709626.42,716783.16,735618.55,762261.54,789495.06,817730.46,846921.89,876955.51,2017.0
906,514,BTN,NGDPRPC,Bhutan,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",10927.8,12090.76,12750.82,13378.74,14050.37,14255.03,14911.95,17320.11,19314.98,20008.21,21584.15,22683.24,23462.71,24631.58,25525.64,27221.5,28622.02,29745.07,30764.71,32044.74,33355.4,34658.87,36877.81,39601.92,41576.66,43563.96,45847.93,51114.15,56027.47,58555.54,63328.49,68729.38,72302.2,73980.41,75979.09,79234.67,84068.41,88294.42,91195.01,94703.01,93012.02,90353.87,93242.29,97597.54,103985.26,108911.41,114070.94,2015.0
951,218,BOL,NGDPRPC,Bolivia,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",2956.54,2739.18,2577.49,2422.73,2368.43,2281.11,2176.95,2184.97,2202.56,2239.3,2295.2,2366.67,2356.45,2388.78,2430.79,2494.79,2552.75,2627.0,2705.7,2665.29,2651.99,2646.41,2662.6,2685.68,2748.41,2820.18,2905.1,2986.81,3118.21,3170.64,3248.82,3364.23,3481.88,3661.9,3803.95,3929.79,4037.7,4146.72,4260.72,4294.41,3861.38,3994.13,4098.32,4190.4,4284.74,4377.71,4460.15,2017.0
1041,616,BWA,NGDPRPC,Botswana,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",22004.07,23366.55,26111.4,27898.97,28658.29,29765.36,31181.9,34556.85,41146.53,41555.49,43580.2,44958.53,43598.35,44115.76,42626.32,44494.45,45984.55,48573.86,47913.02,51554.05,51688.98,50848.62,52986.98,54486.89,54974.34,56407.41,59898.94,63491.08,66039.6,59804.06,63827.31,66737.33,68885.88,75844.7,78005.8,72432.61,76122.13,77548.53,78984.37,79682.39,71422.09,76369.41,78306.25,80102.39,81574.83,83070.63,84619.98,2019.0
1086,223,BRA,NGDPRPC,Brazil,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",4410.63,4124.39,4059.47,3838.17,3957.46,4182.6,4408.8,4480.53,4410.41,4471.97,4160.26,4132.66,4046.79,4168.48,4322.22,4443.7,4412.35,4491.66,4437.68,4391.72,4518.21,4517.49,4595.7,4591.32,4798.5,4895.24,5032.84,5282.53,5494.32,5431.36,5783.01,5960.46,6022.56,6151.14,6129.61,5861.18,5622.72,5651.7,5705.89,5740.92,5466.04,5728.81,5780.6,5862.88,5953.19,6047.58,6144.17,2019.0
1176,918,BGR,NGDPRPC,Bulgaria,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",9025.42,9475.7,9845.38,10115.36,10562.05,10744.46,11317.47,11865.26,12182.54,12174.91,11137.18,10023.8,9275.08,8292.74,8084.23,8045.43,7476.25,6464.76,6789.21,6256.57,6489.39,6957.72,7414.48,7840.96,8389.32,9038.72,9703.15,10392.24,11073.5,10760.39,10905.43,11432.82,11540.8,11640.52,11931.6,12491.62,13063.68,13620.66,14142.16,14767.05,14225.16,14960.74,15713.29,16440.47,17138.45,17783.29,18398.73,2020.0
1221,748,BFA,NGDPRPC,Burkina Faso,"Gross domestic product per capita, constant prices",GDP is expressed in constant national currency per person. Data are derived by dividing constant price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).",196041.24,196580.33,194512.36,187396.6,185583.09,201297.46,211754.94,205820.29,212114.2,211030.81,204254.06,216895.26,211623.69,213095.72,210089.29,216082.98,233342.59,241271.46,251746.94,262688.68,260149.94,269537.94,273296.83,286203.85,290394.13,306346.91,315917.94,319147.91,327597.57,327245.53,344331.0,356251.84,368040.94,377921.98,382767.42,386254.73,397508.9,410139.19,425374.72,437009.03,432855.25,448665.93,460455.9,471306.94,482223.94,493316.79,504827.67,2018.0
