,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
827,339,BLZ,PCPIPCH,Belize,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.051,11.224,6.839,4.996,3.383,4.153,0.794,2.021,5.321,0.0,2.047,2.253,2.397,1.473,2.569,2.89,6.425,1.026,-0.847,-1.207,0.614,1.149,2.195,2.621,3.067,3.651,4.24,2.318,6.394,-1.104,0.918,1.656,1.247,0.51,1.201,-0.862,0.661,1.15,0.27,0.186,0.122,3.1,2.5,2.0,2.0,2.0,2.0,2020.0
872,638,BEN,PCPIPCH,Benin,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.596,0.795,4.059,-6.067,10.265,1.151,0.414,-1.339,3.445,-0.202,1.112,2.1,5.921,0.445,38.535,14.458,4.917,3.803,5.755,0.348,4.107,3.641,2.61,1.76,1.187,4.676,6.355,1.194,6.767,0.398,2.179,2.736,6.743,0.969,-1.083,0.21,-0.794,1.769,0.849,-0.933,3.049,3.0,2.0,2.0,2.0,2.0,2.0,2019.0
917,514,BTN,PCPIPCH,Bhutan,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.504,4.967,9.918,12.137,13.046,8.001,5.177,7.044,8.183,8.864,9.408,10.345,8.144,9.595,9.497,7.084,8.779,8.551,7.591,9.058,7.183,3.724,2.939,2.472,3.346,4.82,4.93,5.25,6.3,7.13,4.83,8.55,10.12,8.11,9.6,6.67,3.28,4.31,3.66,2.82,4.15,6.271,6.93,5.15,4.395,4.147,3.945,2020.0
962,218,BOL,PCPIPCH,Bolivia,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",47.059,32.134,123.555,275.579,1281.35,11749.63,273.35,14.579,16.002,15.174,17.12,21.444,12.958,8.526,7.875,10.192,12.43,4.709,7.674,2.161,4.601,1.596,0.923,3.338,4.437,5.4,4.3,6.656,14.007,3.345,2.502,9.884,4.517,5.737,5.765,4.061,3.625,2.822,2.272,1.839,0.942,1.269,2.689,3.385,3.503,3.503,3.5,2020.0
1052,616,BWA,PCPIPCH,Botswana,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.127,16.3,11.2,10.5,8.6,8.1,10.0,9.8,8.4,11.6,11.4,12.6,16.5,14.4,10.6,10.5,10.1,8.9,6.51,7.816,8.534,6.565,8.026,9.185,6.988,8.61,11.553,7.077,12.623,8.108,6.95,8.473,7.537,5.882,4.415,3.054,2.81,3.296,3.241,2.745,1.89,5.803,5.0,4.35,4.35,4.35,4.35,2020.0
1097,223,BRA,PCPIPCH,Brazil,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",90.227,101.737,100.574,135.02,192.121,226.029,147.137,228.327,629.118,1430.72,2947.73,432.772,951.956,1927.38,2075.83,66.008,15.757,6.926,3.196,4.859,7.044,6.84,8.45,14.714,6.598,6.87,4.184,3.641,5.678,4.888,5.039,6.636,5.404,6.204,6.329,9.03,8.74,3.446,3.665,3.733,3.212,7.699,5.347,3.462,3.251,3.06,3.056,2020.0
1232,748,BFA,PCPIPCH,Burkina Faso,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.259,7.556,12.058,8.346,4.847,7.054,-2.7,-2.85,4.191,-0.322,-0.807,2.502,-1.991,0.614,24.72,7.772,6.109,2.929,4.911,-1.08,-0.169,4.727,2.3,2.04,-0.4,6.409,2.336,-0.233,10.668,0.864,-0.608,2.769,3.817,0.525,-0.258,1.653,0.441,1.483,1.956,-3.233,1.885,3.0,2.6,2.5,2.5,2.5,2.5,2020.0
1277,618,BDI,PCPIPCH,Burundi,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1.2,12.167,5.868,8.151,14.317,3.804,1.676,7.113,4.487,11.662,7.002,8.997,1.797,9.657,14.897,19.221,26.512,31.063,12.471,3.522,25.523,7.868,-1.258,10.574,8.177,13.253,2.744,8.412,24.407,10.557,6.496,9.583,18.176,7.938,4.417,5.554,5.526,1.582,-3.98,-0.709,7.305,5.573,4.625,4.199,4.169,4.17,4.172,2020.0
1322,624,CPV,PCPIPCH,Cabo Verde,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15.071,20.68,21.127,20.155,9.677,5.882,11.111,3.75,3.614,4.651,11.111,7.587,13.429,5.828,3.344,8.41,6.01,8.574,4.399,4.344,-2.403,3.674,1.918,1.188,-1.891,0.434,4.842,4.4,6.774,1.005,2.074,4.473,2.543,1.506,-0.238,0.143,-1.436,0.783,1.275,1.106,0.605,1.5,1.6,1.7,1.8,2.0,2.0,2019.0
1412,622,CMR,PCPIPCH,Cameroon,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.681,7.546,15.326,20.509,12.095,4.202,4.301,2.794,1.705,1.597,1.504,-0.602,1.886,-3.72,12.661,25.805,3.921,4.783,3.177,1.832,1.245,4.45,2.817,0.63,0.25,1.993,4.906,1.125,5.338,3.04,1.279,2.94,2.382,2.05,1.853,2.698,0.873,0.642,1.066,2.452,2.438,2.3,2.05,2.0,2.0,2.0,2.0,2020.0
