,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1459,156,CAN,PCPIEPCH,Canada,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",7.337,12.355,9.638,4.661,3.664,4.133,4.386,4.202,4.087,5.203,4.917,4.111,1.788,1.814,0.039,2.052,2.049,1.004,1.141,2.365,3.128,1.069,3.82,1.708,2.293,2.305,1.389,2.496,1.841,0.787,2.228,2.661,0.993,0.956,1.974,1.273,1.414,1.833,2.054,2.062,0.755,3.801,1.965,2.121,2.155,2.052,2.002,2020.0
1594,228,CHL,PCPIEPCH,Chile,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",31.238,11.17,20.687,23.418,23.599,26.837,17.349,21.133,12.3,21.199,27.235,18.775,12.932,12.472,9.166,8.337,6.695,6.041,4.663,2.318,4.554,2.666,2.866,1.1,2.444,3.671,2.607,7.861,7.089,-1.507,2.942,4.389,1.457,3.056,4.697,4.427,2.732,2.259,2.119,2.962,2.948,5.49,3.39,3.0,3.0,3.0,3.0,2020.0
1684,233,COL,PCPIEPCH,Colombia,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",25.932,27.473,23.276,16.783,18.563,22.727,20.576,24.232,28.297,26.338,32.373,26.889,25.227,22.643,22.602,19.4,21.544,17.541,16.462,9.037,8.511,7.456,6.832,6.375,5.452,4.834,4.459,5.659,7.621,1.905,3.084,3.668,2.442,1.963,3.7,6.798,5.745,4.077,3.148,3.788,1.609,4.304,3.075,2.956,2.97,3.031,2.96,2020.0
1864,238,CRI,PCPIEPCH,Costa Rica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",17.986,64.935,82.677,10.345,17.578,10.963,15.269,16.623,25.167,9.964,27.346,17.027,16.938,9.006,19.932,22.514,13.913,11.196,12.357,10.102,10.248,10.973,9.676,9.87,13.124,14.064,9.432,10.805,13.905,4.055,5.819,4.731,4.554,3.679,5.125,-0.804,0.767,2.573,2.027,1.526,0.888,1.564,1.5,1.9,2.3,2.7,3.1,2020.0
1999,423,CYP,PCPIEPCH,Cyprus,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.453,10.338,4.589,4.113,8.165,1.867,2.808,2.246,4.191,2.817,5.79,6.528,6.491,3.154,5.213,1.637,1.954,3.762,0.756,3.527,3.749,2.163,3.111,2.304,3.855,1.426,1.499,3.835,1.962,1.773,2.135,4.379,1.604,-1.138,-0.883,-0.5,0.091,-0.412,0.989,0.7,-0.834,2.0,1.0,1.2,1.4,1.7,1.9,2020.0
2089,128,DNK,PCPIEPCH,Denmark,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",10.671,12.397,8.824,6.081,5.732,3.414,4.466,3.903,4.651,4.786,5.873,2.157,1.207,1.043,2.507,1.727,2.263,1.521,1.226,3.096,2.35,2.041,2.625,1.218,0.963,2.265,1.632,2.523,2.461,1.201,2.805,2.413,1.742,0.504,0.0,0.301,0.3,0.797,0.692,0.883,0.389,1.4,1.56,1.8,2.0,2.0,2.0,2020.0
2179,321,DMA,PCPIEPCH,Dominica,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",21.348,7.444,4.069,2.675,2.004,3.536,3.036,2.947,5.188,8.163,4.637,2.006,4.314,1.594,-0.237,1.398,2.031,2.173,1.539,-0.042,1.108,1.128,0.358,2.832,0.818,2.703,1.795,6.011,2.016,3.176,0.048,1.936,1.266,-0.44,0.461,-0.654,0.718,-1.484,3.983,0.143,-0.704,2.007,2.0,2.0,2.0,2.0,2.0,2020.0
2224,243,DOM,PCPIEPCH,Dominican Republic,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",-5.864,7.365,7.181,5.995,38.636,30.853,4.399,22.672,55.798,34.594,79.919,7.902,5.165,2.788,14.314,9.216,3.949,8.366,7.82,5.101,9.019,4.384,10.512,42.655,28.74,7.437,5.0,8.878,4.517,5.765,6.238,7.76,3.907,3.876,1.582,2.344,1.695,4.204,1.171,3.656,5.554,6.513,3.981,4.033,4.033,4.033,4.033,2020.0
2269,248,ECU,PCPIEPCH,Ecuador,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",13.53,17.3,24.4,52.5,25.1,24.4,27.3,32.5,85.7,54.2,49.5,49.0,60.2,32.0,25.383,22.774,25.527,30.7,43.4,60.7,91.005,22.422,9.361,6.072,1.949,3.132,2.869,3.319,8.832,4.312,3.328,5.409,4.164,2.701,3.667,3.38,1.12,-0.197,0.266,-0.065,-0.933,1.822,2.157,1.626,1.3,1.1,1.0,2020.0
2314,469,EGY,PCPIEPCH,Egypt,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",20.3,9.6,15.6,16.735,19.58,11.404,27.953,25.11,9.991,16.653,21.38,20.709,9.744,14.953,6.393,9.725,8.156,4.761,3.378,2.877,2.542,2.5,2.439,4.167,12.0,4.592,7.317,8.636,20.084,9.756,10.159,11.816,7.216,9.856,8.315,11.313,13.975,29.777,14.356,9.359,5.692,4.921,6.989,7.095,7.095,7.149,7.149,2020.0
