,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
818,339,BLZ,NGDPPC,Belize,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2296.65,2387.73,2342.04,2401.78,2609.02,2517.79,2665.7,3037.82,3519.08,3954.46,4360.7,4584.75,5208.43,5462.03,5505.82,5728.78,5778.23,5689.69,5777.72,6029.35,6662.84,6809.04,7101.83,7286.65,7604.45,7775.47,8318.3,8511.59,8808.99,8248.43,8541.88,8797.76,8937.4,9032.23,9291.39,9349.2,9468.02,9583.04,9626.43,9706.64,8153.54,8915.77,9443.29,9707.7,9901.86,10099.89,10301.89,2020.0
863,638,BEN,NGDPPC,Benin,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",142458.56,118961.46,133683.95,142199.6,154026.55,159838.7,152497.59,150147.22,150038.11,144175.36,146489.07,148725.99,152362.96,159410.96,212205.61,250620.86,270862.34,288042.98,305931.76,339631.39,364105.03,379431.39,398836.45,412472.29,421208.24,433820.38,447224.99,462457.64,501940.05,512035.68,512871.34,532639.64,584658.54,617972.02,637643.19,636614.81,644332.56,659970.96,688906.65,713772.44,741720.77,791922.78,835919.8,878780.05,926308.38,977289.2,1030712.44,2017.0
908,514,BTN,NGDPPC,Bhutan,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2373.92,2748.07,3077.45,3465.63,3939.46,4317.17,4820.61,5797.47,6910.74,7847.3,9008.69,10149.35,11469.5,13089.34,15210.97,17894.17,20378.1,23426.18,26945.0,30503.44,33092.32,35616.7,39825.92,44405.67,48201.25,52967.12,59559.34,69072.58,78160.87,85880.76,97855.83,113850.8,130318.57,143165.38,156558.23,171718.99,189581.85,208447.05,222400.16,234083.49,239325.96,243911.87,266616.12,294519.11,329376.46,360698.17,393844.69,2015.0
953,218,BOL,NGDPPC,Bolivia,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",0.022,0.026,0.063,0.216,3.255,389.933,1228.09,1404.85,1673.69,1925.98,2295.2,2785.32,3139.34,3391.09,3725.15,4260.11,4863.87,5290.89,5833.64,5885.11,6159.96,6261.97,6477.98,6947.75,7676.53,8344.94,9770.8,10786.3,12429.84,12333.0,13746.32,16313.21,18082.5,20157.57,21368.67,21055.53,21340.6,23245.27,24614.29,24637.03,21729.82,22409.5,23456.6,24808.7,26255.91,27765.42,29278.38,2017.0
1043,616,BWA,NGDPPC,Botswana,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",924.487,947.137,1167.2,1343.27,1687.65,2159.85,2423.95,3143.43,4718.13,5057.03,5257.21,5769.87,6153.63,6897.35,7619.54,8522.81,10227.47,11373.89,12303.29,15122.7,17310.97,18445.2,19449.12,20651.31,22936.28,27175.36,31013.87,34492.63,37575.03,36226.22,42111.99,50177.99,51893.76,58455.51,67277.86,64855.07,76122.19,75495.58,76638.01,77659.97,73543.23,81180.03,88434.41,95225.42,101735.81,107646.42,114930.07,2019.0
1178,918,BGR,NGDPPC,Bulgaria,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3.637,3.911,4.067,4.169,4.421,4.546,4.803,5.104,5.372,5.569,6.427,19.379,28.978,43.637,77.636,131.525,265.9,2331.73,3264.53,3104.37,3451.12,3926.79,4342.29,4696.4,5308.73,6091.3,6980.91,8305.35,9569.43,9675.34,9918.11,11015.59,11289.45,11310.86,11647.13,12491.62,13395.17,14516.96,15677.54,17229.74,17148.02,18556.82,19981.37,21414.56,22881.8,24336.32,25808.0,2020.0
1223,748,BFA,NGDPPC,Burkina Faso,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",73878.66,80749.18,88765.22,91728.9,91641.11,101508.25,100005.62,98405.57,104871.56,109377.03,107780.82,109910.15,107482.32,106669.45,120559.51,132393.19,143466.6,150650.02,169672.39,184901.55,181613.46,195621.67,204413.27,217245.43,220625.91,241449.25,247342.33,256098.84,286958.44,293545.46,320545.61,353989.12,387001.89,388930.84,391473.62,386254.73,407861.22,426780.51,451633.38,461050.69,477628.31,506956.19,532504.43,557589.58,583626.79,610784.46,639412.12,2018.0
1268,618,BDI,NGDPPC,Burundi,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",20914.32,21144.63,21697.46,23050.75,26216.22,29888.4,28933.74,28658.46,29649.16,33823.76,35469.2,37695.53,39003.32,39469.24,39787.8,41753.66,43168.04,55338.02,63473.18,75185.76,93849.93,105744.33,108331.29,116994.76,134731.01,160841.85,169295.47,184106.22,232146.39,256836.75,284978.1,311607.79,360796.15,396390.73,422446.55,478234.15,465048.82,504733.12,483726.32,482222.89,490223.17,512280.86,542745.13,576423.51,612933.73,653175.25,694794.48,2016.0
1313,624,CPV,NGDPPC,Cabo Verde,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",21752.1,25458.08,30176.47,35809.65,39579.55,43646.83,51758.92,56758.11,62112.24,66516.39,67045.81,69614.04,72266.66,84147.52,96671.02,105916.26,114452.84,123210.91,135139.04,158346.09,162121.54,170937.55,176064.91,189265.78,194180.75,203743.99,226130.4,250748.76,273931.38,273418.91,275821.92,291150.91,292524.17,295561.24,293360.35,297795.54,307254.39,316803.08,337824.75,354752.59,296171.34,308962.84,330397.05,352645.33,376785.91,403317.98,431704.46,2018.0
1403,622,CMR,NGDPPC,Cameroon,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",194598.59,240888.9,283377.8,332349.11,394985.24,462258.86,481175.42,446847.53,403411.56,377409.44,349320.78,337607.32,313405.9,300425.63,325344.94,357934.11,375436.87,398184.06,421757.79,436641.87,462778.82,477282.06,493389.12,503294.96,533537.59,533734.52,555381.06,572278.01,614275.19,620786.08,636560.73,662148.64,691571.76,723878.37,761686.84,784835.05,808509.33,827497.56,852328.35,883231.42,864718.97,903910.12,939793.91,974548.03,1015582.73,1064627.63,1117650.79,2019.0
1448,156,CAN,NGDPPC,Canada,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13189.11,14862.4,15475.89,16629.18,18062.74,19370.98,20202.56,21756.91,23434.0,24676.89,25169.8,25074.86,25364.78,26073.26,27347.04,28418.85,29078.04,30364.91,31222.68,33191.47,36090.21,36954.88,38126.65,39702.99,41870.81,44143.14,46007.77,48028.08,49911.75,46792.25,49061.54,51724.29,52710.5,54297.11,56365.13,55788.93,56183.06,58656.27,60297.21,61562.83,58064.93,66040.15,70510.29,72653.16,74429.48,76194.14,78152.35,2020.0
1493,626,CAF,NGDPPC,Central African Republic,"Gross domestic product per capita, current prices",GDP is expressed in current national currency per person. Data are derived by dividing current price GDP by total population.,National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",73887.28,92879.16,99858.31,102934.81,110340.91,146404.06,143819.47,132171.26,136008.92,141283.14,139038.85,132960.66,123855.53,117192.94,147976.67,170967.48,154209.13,165278.83,173349.39,178922.19,169313.5,177977.57,181819.51,180347.39,177719.62,188141.73,199386.08,204796.71,217546.94,227899.62,243715.15,260011.28,288900.14,187826.81,209582.78,223145.37,238324.47,261819.84,271247.41,281134.91,284035.73,283130.17,296190.02,312306.85,329169.74,346878.79,365104.53,2004.0
