,WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
1801,634,COG,NGDP_RPCH,Republic of Congo,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.678,2.613,2.41,2.393,2.375,2.359,2.343,2.327,21.908,21.269,1.003,3.402,4.181,1.316,-1.401,3.965,3.495,-1.004,8.95,-3.678,11.752,-4.823,0.985,0.459,-0.197,9.211,7.986,-6.614,6.306,11.637,9.931,2.206,9.947,-0.712,6.717,-3.551,-10.702,-4.374,-4.846,-0.431,-8.169,-0.164,2.303,2.976,6.792,1.81,0.738,2018.0
1846,238,CRI,NGDP_RPCH,Costa Rica,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.752,-2.26,-7.285,2.859,8.028,0.722,5.536,4.765,3.432,5.666,3.6,2.263,9.201,7.097,4.519,4.154,1.35,5.476,7.155,4.215,3.869,3.491,3.417,4.317,4.425,3.977,7.327,8.215,4.738,-0.873,5.36,4.403,4.883,2.495,3.542,3.652,4.204,4.158,2.616,2.256,-4.064,3.9,3.499,3.1,3.1,3.2,3.3,2020.0
1891,662,CIV,NGDP_RPCH,CÙte d'Ivoire,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.196,3.498,0.2,-2.5,-2.0,3.6,4.8,-0.5,1.14,2.95,-1.09,0.04,-0.25,-0.18,0.171,5.572,8.136,5.723,4.931,1.618,-2.068,0.121,-1.668,-1.36,1.232,1.721,1.516,1.765,2.543,3.251,2.018,-4.857,10.864,9.272,8.794,8.843,7.187,7.36,6.89,6.232,1.995,5.956,6.47,6.425,6.296,6.097,6.0,2017.0
1981,423,CYP,NGDP_RPCH,Cyprus,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.92,3.051,6.279,5.307,8.837,4.746,3.583,7.139,8.317,8.088,7.402,0.74,9.365,0.701,5.899,9.924,1.246,2.641,6.113,4.997,5.965,3.952,3.722,2.624,5.025,4.854,4.714,5.097,3.648,-2.016,2.015,0.402,-3.448,-6.553,-1.829,3.218,6.438,5.156,5.24,3.076,-5.104,4.766,3.552,3.205,2.778,2.675,2.593,2020.0
2071,128,DNK,NGDP_RPCH,Denmark,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.484,-0.658,3.678,2.594,4.172,4.005,4.9,0.254,-0.008,0.642,1.473,1.397,1.959,0.008,5.329,3.029,2.905,3.26,2.213,2.948,3.749,0.823,0.467,0.388,2.668,2.342,3.912,0.908,-0.511,-4.905,1.868,1.336,0.229,0.935,1.616,2.343,3.248,2.819,1.991,2.114,-2.061,3.8,3.0,1.9,1.8,1.8,1.8,2020.0
2161,321,DMA,NGDP_RPCH,Dominica,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.383,10.829,4.128,2.556,4.197,1.421,7.073,6.308,7.817,-0.191,5.419,1.346,2.03,2.162,0.034,3.03,3.105,2.185,3.774,0.355,2.34,-0.063,-2.829,6.353,3.051,0.656,4.659,6.354,7.121,-1.17,0.673,-0.224,-1.059,-1.0,4.754,-2.732,2.764,-6.619,3.548,7.488,-10.983,3.365,7.899,5.873,4.786,4.244,2.538,2018.0
2206,243,DOM,NGDP_RPCH,Dominican Republic,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.969,4.279,1.7,4.628,1.253,-2.123,3.522,10.117,2.156,4.401,-5.454,0.945,11.221,7.365,2.6,5.685,5.978,8.885,6.714,5.94,4.662,2.46,4.495,-1.346,2.57,9.428,9.174,7.416,3.21,0.946,8.34,3.133,2.717,4.875,7.05,6.927,6.659,4.667,6.983,5.052,-6.72,9.521,5.502,5.027,4.986,4.974,4.95,2020.0
2251,248,ECU,NGDP_RPCH,Ecuador,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.9,3.9,1.2,-2.8,4.2,4.4,3.094,-5.972,10.486,0.285,3.008,5.113,3.614,2.0,4.258,2.253,1.732,4.328,3.267,-4.739,1.092,4.016,4.097,2.723,8.211,5.291,4.404,2.19,6.357,0.566,3.525,7.868,5.642,4.947,3.789,0.099,-1.226,2.368,1.289,0.012,-7.75,2.796,3.506,2.526,2.595,2.752,2.753,2020.0
2296,469,EGY,NGDP_RPCH,Egypt,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.409,2.198,7.296,8.876,8.021,7.425,4.759,4.273,3.994,2.993,2.35,2.1,0.3,2.9,4.188,4.484,4.879,5.919,7.543,6.11,5.383,3.524,3.186,3.193,4.092,4.472,6.844,7.088,7.156,4.674,5.147,1.765,2.226,3.302,2.916,4.372,4.347,4.077,5.314,5.558,3.57,3.333,5.218,5.627,5.724,5.769,5.776,2020.0
2341,253,SLV,NGDP_RPCH,El Salvador,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.625,-5.725,-6.306,1.535,1.337,0.616,0.19,2.513,1.878,0.962,4.831,1.498,7.021,5.817,4.692,4.733,0.816,3.136,2.652,2.164,1.126,0.877,1.577,1.566,0.889,2.709,4.342,1.861,2.128,-2.086,2.105,3.815,2.814,2.236,1.711,2.397,2.542,2.252,2.412,2.635,-7.944,9.025,3.54,2.34,2.245,2.045,1.8,2020.0
2386,642,GNQ,NGDP_RPCH,Equatorial Guinea,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.839,5.769,2.202,5.004,1.011,12.905,-2.331,4.437,2.655,-1.229,2.537,-1.245,33.002,10.461,16.808,26.51,52.678,147.973,24.815,26.395,110.505,60.023,19.621,14.455,30.391,8.21,6.501,15.282,17.799,1.343,-8.924,6.524,8.313,-4.133,0.415,-9.11,-8.816,-5.668,-6.237,-5.979,-4.893,4.146,-5.626,-1.502,-1.027,-2.812,-2.15,2020.0
2521,734,SWZ,NGDP_RPCH,Eswatini,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-3.811,6.902,1.439,-0.547,2.481,1.924,18.584,10.016,7.571,9.408,9.859,1.76,3.227,3.106,2.401,4.826,3.842,3.103,2.604,2.951,1.76,1.055,4.38,3.88,3.624,5.999,5.992,4.435,0.822,1.565,3.794,2.247,5.391,3.862,0.913,2.203,1.101,2.027,2.372,2.244,-2.419,1.529,1.669,1.761,1.961,2.122,2.167,2019.0
2611,819,FJI,NGDP_RPCH,Fiji,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.694,6.004,-1.092,-4.212,10.107,-3.774,6.596,-7.194,3.462,13.888,5.802,-2.7,6.1,2.6,5.1,2.6,4.8,-2.4,1.3,8.7,-1.7,1.9,3.2,0.8,5.4,-1.3,1.9,-0.9,1.0,-1.4,3.0,2.7,1.411,4.734,5.604,4.502,2.445,5.354,3.813,-0.445,-15.725,-3.997,6.195,8.259,6.427,4.49,3.36,2020.0
2656,172,FIN,NGDP_RPCH,Finland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.673,1.294,3.087,3.122,3.213,3.537,2.726,3.559,5.211,5.087,0.211,-5.886,-3.295,-0.662,3.964,4.217,3.667,6.334,5.457,4.38,5.773,2.609,1.707,2.004,3.992,2.78,4.027,5.299,0.784,-8.074,3.186,2.547,-1.397,-0.902,-0.365,0.544,2.811,3.192,1.142,1.343,-2.875,2.973,2.963,1.548,1.291,1.282,1.285,2020.0
2701,132,FRA,NGDP_RPCH,France,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.809,1.098,2.395,1.306,1.676,1.609,2.25,2.628,4.566,4.471,3.029,0.944,1.483,-0.562,2.336,2.234,1.388,2.298,3.618,3.279,4.089,2.007,1.12,0.843,2.585,1.72,2.628,2.422,0.114,-2.784,1.838,2.237,0.374,0.615,0.975,1.042,1.026,2.442,1.841,1.838,-7.988,6.293,3.931,1.823,1.492,1.394,1.377,2020.0
2791,648,GMB,NGDP_RPCH,The Gambia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.705,-9.523,20.759,13.518,-7.62,3.649,2.364,2.8,1.702,4.331,5.696,2.163,1.763,3.833,-3.398,3.32,2.906,1.417,6.5,6.399,5.525,5.753,-3.247,6.874,7.046,-2.352,-0.556,3.043,6.256,6.666,5.908,-8.13,5.242,2.873,-1.407,4.058,1.943,4.823,7.235,6.222,-0.202,4.86,6.0,6.5,6.5,5.816,5.593,2020.0
2881,134,DEU,NGDP_RPCH,Germany,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.272,0.11,-0.788,1.555,2.826,2.192,2.417,1.469,3.736,3.913,5.723,5.011,1.92,-0.977,2.399,1.541,0.816,1.785,2.02,1.887,2.904,1.687,-0.201,-0.703,1.184,0.726,3.814,2.982,0.959,-5.696,4.185,3.914,0.427,0.432,2.217,1.487,2.23,2.68,1.086,1.05,-4.56,3.051,4.56,1.59,1.37,1.15,1.122,2020.0
2926,652,GHA,NGDP_RPCH,Ghana,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.453,-3.754,-8.303,-6.223,9.378,6.433,6.189,6.66,6.468,4.541,3.595,4.774,4.473,4.772,3.508,4.233,4.765,5.797,5.01,4.529,3.596,3.828,4.617,5.112,5.404,6.23,5.817,4.076,9.008,5.683,7.769,13.95,8.428,7.243,2.856,2.121,3.374,8.129,6.2,6.508,0.414,4.712,6.172,4.653,4.981,5.811,5.153,2019.0
3016,328,GRD,NGDP_RPCH,Grenada,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",15.067,1.375,4.107,3.295,3.963,5.988,7.358,9.073,2.916,3.758,4.241,1.423,-0.813,-1.956,1.838,2.196,4.386,4.916,11.808,6.981,5.063,-2.024,3.438,9.464,-0.647,13.273,-3.993,6.124,0.948,-6.613,-0.511,0.765,-1.155,2.351,7.342,6.445,3.74,4.439,4.361,0.677,-13.058,2.679,6.169,5.771,4.632,3.055,2.784,2019.0
3061,258,GTM,NGDP_RPCH,Guatemala,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.7,0.644,-3.542,-2.528,0.51,-0.6,0.1,3.579,3.892,3.943,3.101,3.0,4.6,3.4,3.5,4.4,2.8,4.1,4.6,3.7,2.5,2.399,4.245,2.617,2.969,3.065,5.575,6.049,3.662,0.632,2.806,4.445,3.147,3.485,4.444,4.092,2.678,3.08,3.322,3.867,-1.519,5.5,4.501,3.75,3.5,3.5,3.5,2020.0
3106,656,GIN,NGDP_RPCH,Guinea,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.601,0.61,1.8,1.3,1.4,5.0,3.114,3.3,6.308,4.003,4.324,2.497,3.273,5.048,4.001,4.68,4.462,5.182,3.644,3.812,2.503,3.658,5.165,1.249,2.34,2.997,2.497,6.512,4.142,-1.538,4.219,5.614,5.913,3.946,3.697,3.822,10.821,10.304,6.358,5.646,7.087,5.173,6.289,5.886,5.559,5.157,5.416,2018.0
3196,336,GUY,NGDP_RPCH,Guyana,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.076,0.562,-8.884,-11.497,2.134,0.366,-0.234,-0.13,-5.981,-4.944,-3.01,6.026,7.758,8.201,8.482,5.055,7.956,6.185,-1.707,2.986,-1.345,2.26,1.149,-0.652,1.566,-1.942,5.127,7.02,1.977,3.319,4.371,5.437,5.039,3.653,1.686,0.687,3.807,3.734,4.441,5.353,43.48,20.409,48.709,32.081,3.574,3.747,3.741,2020.0
3241,263,HTI,NGDP_RPCH,Haiti,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",7.345,1.056,-2.797,-1.5,0.201,0.757,0.273,-0.432,0.559,-1.131,-0.44,1.262,-2.251,-4.922,-11.603,9.892,4.143,2.705,2.182,2.71,0.87,-0.343,1.052,3.481,-1.318,3.072,1.769,4.707,2.658,5.89,-5.652,5.098,0.502,4.325,1.723,2.563,1.812,2.51,1.668,-1.685,-3.343,-0.7,1.3,1.3,1.3,1.4,1.4,2020.0
3286,268,HND,NGDP_RPCH,Honduras,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.668,2.533,-1.391,-0.924,4.346,4.188,0.723,6.031,4.61,4.326,0.097,3.252,5.624,6.23,-1.303,4.08,3.578,4.994,2.902,-0.736,7.291,2.723,3.754,4.547,6.232,6.051,6.567,6.188,4.232,-2.432,3.731,3.836,4.129,2.792,3.058,3.84,3.893,4.843,3.845,2.653,-8.965,4.9,4.35,3.54,3.64,3.74,3.94,2019.0
3331,532,HKG,NGDP_RPCH,Hong Kong SAR,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.34,9.193,2.887,6.015,10.002,0.715,11.104,13.395,8.512,2.277,3.831,5.702,6.235,6.201,6.036,2.374,4.258,5.1,-5.883,2.507,7.663,0.561,1.657,3.056,8.7,7.388,7.033,6.465,2.128,-2.459,6.768,4.815,1.7,3.102,2.762,2.388,2.169,3.791,2.846,-1.68,-6.081,6.435,3.518,3.133,2.867,2.779,2.841,2020.0
3376,944,HUN,NGDP_RPCH,Hungary,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.215,2.867,2.841,0.723,2.658,-0.253,1.535,4.051,-0.065,0.736,-3.497,-11.892,-3.064,-0.576,2.947,2.541,0.082,3.143,3.9,3.071,4.479,4.074,4.741,4.085,4.823,4.244,4.031,0.242,1.058,-6.7,1.122,1.937,-1.381,1.861,4.229,3.819,2.14,4.317,5.4,4.641,-4.957,7.6,5.1,3.8,3.2,2.6,2.6,2020.0
3421,176,ISL,NGDP_RPCH,Iceland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.738,4.265,2.154,-2.151,4.129,3.293,6.27,8.546,-0.09,0.258,1.169,-0.224,-3.374,1.313,3.609,0.117,4.567,5.772,7.363,4.024,4.985,4.013,0.56,2.143,7.802,6.125,6.317,8.455,2.21,-7.664,-2.833,1.846,1.064,4.552,1.687,4.437,6.304,4.195,4.892,2.435,-6.504,3.696,4.07,3.667,2.557,2.361,2.254,2020.0
3466,534,IND,NGDP_RPCH,India,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.281,6.006,3.476,7.289,3.821,5.254,4.777,3.965,9.628,5.947,5.534,1.057,5.482,4.75,6.659,7.575,7.55,4.05,6.184,8.463,3.975,4.944,3.907,7.944,7.849,9.285,9.264,9.801,3.891,8.48,10.26,6.638,5.456,6.386,7.41,7.996,8.256,6.795,6.533,4.042,-7.252,9.497,8.523,6.569,6.289,6.185,6.078,2021.0
3511,536,IDN,NGDP_RPCH,Indonesia,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",9.88,7.604,2.246,4.193,7.574,3.906,7.189,6.572,6.979,9.085,9.002,8.928,6.523,7.956,7.54,8.22,7.818,4.7,-13.127,0.791,4.979,3.643,4.499,4.78,5.031,5.693,5.501,6.345,7.442,4.702,6.378,6.17,6.03,5.557,5.007,4.876,5.033,5.07,5.174,5.018,-2.07,3.199,5.94,6.355,5.575,5.302,5.219,2020.0
3556,429,IRN,NGDP_RPCH,Islamic Republic of Iran,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-18.844,-8.558,13.088,13.776,-9.883,-2.064,-9.037,2.97,-9.493,5.205,18.08,10.774,2.107,1.257,-1.489,1.023,6.215,-0.55,1.91,0.309,6.867,0.806,10.253,9.226,4.372,3.19,5.0,8.156,0.251,1.007,5.798,2.646,-7.445,-0.194,4.603,-1.321,13.396,3.755,-6.026,-6.784,3.388,2.462,1.995,1.996,1.999,1.994,1.996,2021.0
3646,178,IRL,NGDP_RPCH,Ireland,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.898,2.512,1.495,-0.729,3.204,1.947,0.424,3.641,2.998,5.614,7.711,1.642,3.579,2.314,5.894,9.593,9.092,10.747,8.758,10.523,9.399,5.305,5.896,3.01,6.786,5.736,4.981,5.306,-4.487,-5.1,1.755,1.068,-0.052,1.267,8.713,25.177,2.042,8.94,9.03,4.917,5.867,13.036,3.538,3.933,2.903,2.893,2.858,2020.0
3691,436,ISR,NGDP_RPCH,Israel,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.568,4.723,1.424,2.586,2.21,4.451,3.551,7.49,3.564,1.419,6.633,4.618,7.155,3.771,7.011,9.654,6.026,3.925,4.198,3.57,8.892,0.103,-0.195,1.149,4.915,4.158,5.777,6.102,3.459,1.143,5.685,5.542,2.823,4.777,4.125,2.28,4.463,4.377,3.983,3.774,-2.153,7.06,4.071,3.567,3.251,3.186,3.206,2020.0
3736,136,ITA,NGDP_RPCH,Italy,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.099,0.557,0.156,0.925,3.013,2.621,2.71,3.067,4.029,3.252,1.982,1.439,0.723,-0.835,2.074,2.683,1.267,1.83,1.811,1.626,3.787,1.951,0.254,0.139,1.424,0.818,1.791,1.487,-0.962,-5.281,1.713,0.707,-2.981,-1.841,-0.005,0.778,1.293,1.668,0.942,0.287,-8.871,5.77,4.233,1.617,1.019,1.001,0.971,2020.0
3781,343,JAM,NGDP_RPCH,Jamaica,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.041,4.42,3.08,4.153,0.95,-0.9,7.0,7.7,-3.993,4.7,4.875,0.834,2.778,2.211,1.875,2.521,0.236,-1.641,-1.21,0.981,0.776,1.281,0.675,3.667,1.324,0.894,2.899,1.444,-0.818,-3.411,-1.435,1.426,-0.501,0.224,0.575,0.869,1.498,0.679,1.827,0.97,-10.049,4.576,2.686,2.404,2.054,1.806,1.618,2020.0
3826,158,JPN,NGDP_RPCH,Japan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.181,4.209,3.312,3.523,4.502,5.233,3.327,4.731,6.785,4.858,4.893,3.417,0.848,-0.518,0.876,2.631,3.134,0.981,-1.27,-0.334,2.765,0.386,0.042,1.535,2.186,1.804,1.372,1.484,-1.224,-5.693,4.098,0.024,1.375,2.005,0.296,1.561,0.754,1.675,0.559,0.015,-4.586,2.358,3.199,1.369,0.826,0.569,0.493,2020.0
3871,439,JOR,NGDP_RPCH,Jordan,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",11.326,15.327,5.241,0.238,5.587,-1.176,5.468,2.73,2.083,-11.348,1.063,2.437,13.28,3.137,5.047,6.439,0.665,4.274,3.27,2.826,4.267,4.85,7.0,3.915,8.119,8.415,8.878,7.998,6.944,5.024,2.315,2.737,2.429,2.61,3.384,2.497,1.994,2.088,1.934,1.955,-1.551,2.039,2.7,3.1,3.3,3.3,3.3,2019.0
3961,664,KEN,NGDP_RPCH,Kenya,"Gross domestic product, constant prices","Annual percentages of constant price GDP are year-on-year changes; the base year is country-specific. Expenditure-based GDP is total final expenditures at purchasers' prices (including the f.o.b. value of exports of goods and services), less the f.o.b. value of imports of goods and services. [SNA 1993]",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.572,4.1,5.052,1.593,1.6,4.073,6.982,5.811,6.091,4.554,4.134,1.339,-1.08,-0.095,2.531,4.287,4.148,0.411,2.983,2.199,0.347,3.979,0.481,2.949,4.635,5.665,5.854,6.851,0.232,3.307,8.402,5.121,4.569,3.798,5.02,4.968,4.214,3.816,5.629,4.981,-0.316,5.599,6.045,5.713,5.486,5.518,5.515,2020.0
